statement,translation
שבע יש מבול של אנשים,Seven has a flood of people
שמתחילים להשתגע כי הם לא,They start going crazy because they don't.
זוכרים איך מרגיש הבית בעצמם,Do you remember how the house feels?
הם עסוקים במקום פשוט לחיות,They're busy instead of just living
אסור לך לשכוח לא לברוח,Don't forget not to run away.
מכל מכשול שיבוא אלינו מאין,Every obstacle that comes to us from where
באת לאן אתה הולך כמה,You've come where you're going Some
זה עושה לי טוב להרגיש,It makes me feel good.
שמש מקרוב לתת רק חום,Sun up close to give only heat
אהבה כל החיים להוביל אותך,Love all your life to lead you
כמה זה עושה לי טוב,How much does it do me?
כמה כמה כמה זה עושה,How much does it make?
לי טוב רק לאן שלא,I'm only good where I'm not
הלב יקח אותך אני איתך,The heart will take you I'm with you
בית א ארץ של שמש,Home A Land of the Sun
על הים התיכון עומר אדם,On the Mediterranean Sea Omar Adam
הגלים פה לא שקטים זה,The waves here are not quiet.
אומר המון גידי גוב מהחול,Says lots of Gidi Gov from the sand
של הנגב עד החרמון עדן,From the Negev to the Mount of Eden
אלנה יסמין מועלם בית חם,Elena Yasmine Disappears Hot House
בו כולם אומרים שלום רוני,"Everyone says hello, Ronnie."
דלומי ליאור נרקיס מעבר מול,Dalumi Lior Narkiss Beyond in Front
כל מכשול כל חידה עוד,Every obstacle Every riddle More
תקוותינו לא אבדה רותם כהן,Our hopes are not lost Rotem Cohen
מה יוליד יום זאת לא,What will give birth to this day is not
נדע על הכל נאמר תודה,We'll know all about it. Thank you.
מרגי פזמון כמו שהיה ככה,Margie sings like it did.
יהיה עברנו הכל נעבור גם,We'll be through everything. We'll be through too.
את זה נועה קירל לא,"That's moving. Kirle, no."
יפלו פנינו זה קטן עלינו,Our faces will fall It's small on us
בן אל תבורי כמו שהיה,"Ben, don't bee like it was."
ככה יהיה עברנו הכל נעבור,That's how it'll be. We've been through
גם את זה אנה זק,This too Anna Zack.
לא יפלו פנינו זה קטן,Our faces will not fall. It's small.
עלינו מוקי בית ב קפה,About Us House Mookies at Coffee
במרפסת ריחות של שבת ליאור,"On the balcony, smells of Shabbat Lior"
נרקיס איך כולנו פה אותו,Narcissus How We All Got Him Here
דבר כמעט נסרין דודו אהרון,Almost a Nasreen thing Uncle Aaron
לשמור על הדגל עוד פעם,Keep the flag up again.
אחת רמי קליינשטיין גלי עטרי,One Rami Kleinstein Gali Atari
אליעד רוני דלומי כמה עוד,Eliad Ronny Dalumi How much more
אפשר הזמן עובר לאט אנה,Allow time to pass slowly Anna
זק רותם כהן רמי קליינשטיין,Zak Rotem Cohen Rami Kleinstein
מעבר מול כל מכשול כל,Beyond every obstacle
חידה עוד תקוותינו לא אבדה,Another riddle Our hopes are not lost
אלה לי מרגי מה יוליד,Ella Lee Margie What will give birth
יום זאת לא נדע על,This day we will not know about
הכל נאמר תודה עדן חסון,All is said Thank you Heaven Hasson
פזמון כמו שהיה ככה יהיה,A chorus like it would be.
עברנו הכל נעבור גם את,We've been through everything. We'll get through it too
זה דודו אהרון יסמין מועלם,This is his uncle Aaron Jasmine disappearing
לא יפלו פנינו זה קטן,Our faces will not fall. It's small.
עלינו אגם בוחבוט בן אל,About Us Lake Bhutbut Ben-El
תבורי כמו שהיה ככה יהיה,Bee as it was will be
עברנו הכל נעבור גם את,We've been through everything. We'll get through it too
זה משה פרץ נסרין נורוז,This is Moshe Peretz Nasrin Noruz
פלד לא יפלו פנינו זה,Peled will not fall This face
קטן עלינו סטפן רוני דלומי,Little About Us Stephen Rooney Delomi
שרק סטטיק סקררט צוקוש בית,Shrek Static Scrat Squash House
ראפ ראפ ישראלי סאבלימינל זה,Israeli rap subliminal This
קטן עלינו הצרה היא מינימאלית,Little about us The trouble is minimal
מינימלית יסמין מועלים עם אחד,Minimal Jasmine Raised with One
כולם מעורבבים כמו כימיקלים כמו,They are all mixed like chemicals.
כימיכלים יסמין מועלם עובדים משמונה,Jasmine Chemicals Disappears Workers from Eight
עד חמש אבל חולמים דולארים,Up to five but dreaming Dolars
תנו כסף פלד סוף שבוע,Give Silver a weekend steel
ממלאים מועדונים פאבים יה יה,Filling Clubs Pubs Ya Ya
יה יסמין מועלם בטח מיכאל,"Ya Yasmine is gone. Sure, Michael."
סוויסה איי זה לא חלום,Suisse A is not a dream.
או בדיחה איי יש לנו,Or joke A. We have
גב משפחה יש יסמין מועלם,Family back has jasmine disappearing
איי יחד איתי איתך איי,"""A"" with me ""A"""
כולם ינשמו לרווחה יש לנו,Everyone will breathe out. We have
לב גם יש לנו שכל,We also have a brain.
כוח רצון טיפה של מזל,Willpower A Drop of Luck
כולנו אש אין לנו פחד,We are all fire We have no fear
ככה בטוח יהיה לנו קל,That way it will be easy for us.
מעבר מול כל מכשול כל,Beyond every obstacle
חידה עוד תקוותינו לא אבדה,Another riddle Our hopes are not lost
אליעד יסמין מועלם מה יוליד,Eliad Yasmine Is Disappeared What Will Give Birth
יום זאת לא נדע על,This day we will not know about
הכל נאמר תודה עדן בן,All said Thank you Eden Ben
זקן פזמון כמו שהיה ככה,As old as it was.
יהיה עברנו הכל נעבור גם,We'll be through everything. We'll be through too.
את זה בן אל תבורי,"That, son. Don't beat me."
אלה לי לא יפלו פנינו,These to me will not fall Our faces
זה קטן עלינו נעה קירל,It's small on us moving Kirel
כמו שהיה ככה יהיה עברנו,As it was so will be our past
הכל נעבור גם את זה,We'll get through that too.
עדן חסון לא יפלו פנינו,Heaven will not fall Our faces
זה קטן עלינו עדן אלנה,It's small on us Eden Elena
כמו שהיה ככה יהיה עברנו,As it was so will be our past
הכל נעבור גם את זה,We'll get through that too.
עומר אדם לא יפלו פנינו,Omar Adam Will Not Fall Our Faces
זה קטן עלינו עדן בן,It's small on us Eden son
זקן יאללה כולם כולם סאבלימינל,"Old man. Come on, everybody. Subliminal."
כמו שהיה ככה יהיה עברנו,As it was so will be our past
הכל נעבור גם את זה,We'll get through that too.
שלום אסייג כן הצל לא,"Hello, Assayag. Yes, Shadow. No."
יפלו פנינו דורון לא יפלו,Our faces will fall. Doron will not fall.
הצל זה קטן עלינו דורון,This shadow is small on us Doron
אלתורים עדן חסון אנה זק,Improvisations Eden Hasson Anna Zak
ליאור נרקיס אליעד נועה קירל,Lior Narkis Eliad Noa Kirel
רמי קליינשטיין גלי עטרי אלה,Rami Kleinstein Gali Atari Ella
לי אגם בוחבוט רותם כהן,Lee Lake Bobbutt Rotem Cohen
עדן בן זקן מרגי עומר,Eden ben old Margie Omar
אדם יסמין מועלם סטטיק בן,Adam Jasmine Disappears Static Son
אל תבורי רוני דלומי אליעד,Don't beat Ronnie Dalumi Eliad
פזמון כמו שהיה ככה יהיה,A chorus like it would be.
עברנו הכל נעבור גם את,We've been through everything. We'll get through it too
זה מרגי משה פרץ לא,This is Margie Moshe Peretz. No.
יפלו פנינו זה קטן עלינו,Our faces will fall It's small on us
נעה קירל גידי גוב אנה,Noa Kirel Gidi Gov Anna
זק כמו שהיה ככה יהיה,Zack as it was.
עברנו הכל נעבור גם את,We've been through everything. We'll get through it too
זה סטפן רוני דלומי ליאור,This is Stefan Roni Dalumi Lior
נרקיס רותם כהן לא יפלו,Narkiss Rotem Cohen will not fall
פנינו זה קטן עלינו נסרין,Our faces are small on us Nasreen
קדרי עדן בן זקן כמו,Kadri Eden ben old as
שהיה ככה יהיה עברנו הכל,That was the way it would be. We went through everything.
נעבור גם את זה רמי,"We'll get through that too, Remy."
קליינשטיין אלה לי גלי עטרי,Kleinstein Ella Lee Gali Atari
לא יפלו פנינו זה קטן,Our faces will not fall. It's small.
עלינו סטטיק אליעד אגם בוחבוט,About Us Static Eliad Lake Buhbut
לא יפלו פנינו זה קטן,Our faces will not fall. It's small.
עלינו בן אל תבורי,About Us Ben Don't Tabori
שאי עיניים לשמיים לווין רגשות,Eyes to the sky satellite emotions
מסתובב מעלינו אם שכחנו לגעת,Turning over us If we forgot to touch
חוטים דקים חיברו ביננו כל,Thin threads connected us all
כך הרבה שפות כולן שפת,So many languages are all languages
אם חמישה עשר מליון חלקים,If fifteen million pieces
פאזל שלם מקצוות עולם עולה,A complete puzzle from the edges of a rising world
השבועה שוברת קירות שוטפת דמעות,The Oath Breaks Walls Washing Tears
שומר אחי אנוכי עוד יש,My brother's keeper I still have
מקום בליבי שומר אחי אנוכי,A place in my heart keeps my brother selfish
מגנט הלב מסתובב למזרח מצפן,The heart magnet rotates to the east compass
ההיסטוריה מכוון לעתיד אב אחד,History Aims for the Future of One Father
מביט מלמעלה אחים זה תמיד,"Looking from above, brothers, it's always"
לתמיד ראובן נשאר בארץ יוסף,For ever Reuben remained in the land of Joseph
נופף לשלום החוט לא נקרע,Wave goodbye The thread didn't rupture
בזכות החלום מקצוות עולם עולה,Thanks to the dream rising world ends
השבועה שוברת קירות שוטפת דמעות,The Oath Breaks Walls Washing Tears
שומר אחי אנוכי עוד יש,My brother's keeper I still have
מקום בליבי שומר אחי אנוכי,A place in my heart keeps my brother selfish
אם האותיות לא רוצות להתערבב,If the letters don't want to mix
המילים יוצרות מציאות בוא נדבר,The words create reality Let's talk
בשפה של הלב בואי אלי,In the language of the heart Come to me
נתקרב מקצוות עולם עולה השבועה,We will approach from the ends of the world ascending the oath
שוברת קירות שוטפת דמעות שומר,Breaking walls washing away guard tears
אחי אנוכי עוד יש מקום,My brother I still have a place
בליבי שומר עמי אנוכי,In my heart keeps my people selfish
טוב תקשיב אני לא רוצה,"Okay, listen. I don't want to."
לראות אותך יותר אם אני,See you more if I
כבר לא מבקשת זאתי מהטיקטוק,No longer asking for this one from Ticktock.
חברה שלך מעניין את מה,Your friend is interested in what
היא לובשת איך על הדשא,She wears how on the grass
זוכר היינו נרדמים הגשם זה,Remember we'd fall asleep this rain
הדמעות של אלוהים אתה יורה,God's Tears You Shoot
לי משפטים קלישאות קופידון עם,Lee Sentences Cliché Cupid With
חץ קשת שלוליות של אהבה,Arrow Rainbow puddles of love
באמצע כביש הערבה איזה טבע,In the middle of the prairie road What a nature
אמרת שאני הכי יפה בארץ,You said I was the most beautiful in the country.
שלא נדבר על באר שבע,Not to mention the 7th.
כמה צבע בעיניים השקטות איך,Some color in the silent eyes How
הלב היה באלף מעלות ואלה,The heart was a thousand degrees and these
כל מה שנתתי לך אתה,Everything I've given you you
אפילו לא נתת רבע לב,You didn't even give a quarter heart.
אדום שחור תלתן הקלפים על,Red Black Clover Cards on
השולחן נצחונות הפסדים זה מכור,The table wins. Losses are addictive.
אני שקופה אתה רואה אותי,I'm transparent You see me
באורות אדומים אתה זורק עלי,In red lights you throw at me
מילים זה מסנוור אותי אתה,Words that dazzle me You
מכיר אותי מזמן יודע שאני,I have known for a long time that I
כבר לא אני אל תשאל,Not anymore. Don't ask.
אותי לאן אני אורזת את,Me where I'm packing up
הלב שלי אתה היית קצת,My heart you were a little
עצוב אני הייתי פסיכולוגית זה,Sad I was this psychologist
בסדר כי גם אלף אורטופדים,"All right, because so are a thousand orthopaedics"
לא יצליחו לתקן בלב שלך,They can't fix your heart.
את כל השבר אז מה,The whole fracture. So what?
הקשר בינך לבין הרגשות הכל,The connection between you and the feelings Everything
זה שקר אז מה אתה,It's a lie So what are you
רוצה להיות עוד אחד שמדבר,I want to be another one talking.
קצת באוויר לא רואה דברים,A little in the air doesn't see things
מעבר מוציא לי לב אדום,Moving brings out a red heart.
שחור תלתן הקלפים על השולחן,Black clover cards on the table
ניצחונות הפסדים זה מכור אני,Winning Losses is Addicted
שקופה אתה רואה אותי באורות,Visible You see me in the lights
אדומים אתה זורק עלי מילים,Reds You throw words at me
ישר זה מסנוור אותי אתה,Straight It dazzles me You
מכיר אותי מזמן יודע שאני,I have known for a long time that I
כבר לא אני אל תשאל,Not anymore. Don't ask.
אותי לאן אני אורזת בגדים,Me Where I'm Packing Clothes
שלי אז כל מה שהיה,Mine So All That Was
ביננו לא חשוב גם אם,It does not matter between us if
בכוכבים הכל היה כתוב זורק,In the stars it was all written throwing
מטבע לאגם עושה לי עץ,A coin in the lake makes me a tree
או פלי גם ביום שמח,Or tails even on a happy day
גם ביום עצוב אז כל,Even on a sad day then all
מה שהיה ביננו לא חשוב,What was between us doesn't matter.
גם אם בכוכבים הכל היה,Even if in the stars everything was
כתוב זורק מטבע לאגם עושה,It says throwing a coin into a lake does
לי עץ או פלי גם,I got a tree or a tail too
ביום שמח גם ביום עצוב,Happy day even on a sad day
ניצחונות הפסדים זה מכור אני,Winning Losses is Addicted
שקופה אתה רואה אותי באורות,Visible You see me in the lights
אדומים אתה זורק עלי מילים,Reds You throw words at me
ישר זה מסנוור אותי אתה,Straight It dazzles me You
מכיר אותי מזמן יודע שאני,I have known for a long time that I
כבר לא אני אל תשאל,Not anymore. Don't ask.
אותי לאן אני אורזת בגדים,Me Where I'm Packing Clothes
שלי,Mine
אין לי עצבים לבכות לך,I don't have the nerve to cry to you.
שוב כי תמיד זה מרגיש,Again because it always feels
כאילו רק לי חשוב לראות,As if I was the only one to see
אותך היום שנרקוד כמו פעם,You're the day we'll dance like before
כשהייתי מגיעה איך תמיד היית,When I arrived How have you always been
שר גם אמא שלך אמרה,Your mother also said
תראי איך הוא מאושר תראה,Look how happy he is Look
אותך היום מתנהג כמו זר,You act like a stranger today.
נותן לי להרגיש כמו ילדה,Makes me feel like a girl.
קטנה מתפרקת לך בטלפון כאילו,Little breaks up on your phone like
עוד שניה זה סוף העולם,Another second. It's the end of the world.
סוף העולם פתאום מסתובבת בברים,The end of the world suddenly turns around in bars
הזויים איך שוב באפליקציות עם,It's funny how again in the apps with
ים משוגעים לא יודעת לאן,Crazy seas don't know where
לברוח מכאן כי הבגדים שלך,Get out of here because your clothes
אצלי בארון שרים שירי דיכאון,In my closet they sing depression songs
לא נותנים לי לישון כל,They don't let me sleep any
הלילה כל הלילה הדמעות יורדות,Night all night the tears fall
בלי שום היגיון אני זרוקה,No sense at all. I'm dumped.
בסלון מחכה שתבוא כל הלילה,In the living room waiting for you to come all night.
איך אני שונאת את הלבד,How do I hate alone?
הזה שיט ראיתי עוד סרט,"Shit, I saw another movie."
שגרם לי לחשוב אולי תחזור,That made me think maybe you'll come back
קצת אחרת כזה רומנטי טיפה,A little bit different Such a little romantic
פחות דרמטי גבר של פעם,Less dramatic than a man of the past
תתן לי להרגיש כמו נסיכה,Make me feel like a princess.
שים לי כתר על הראש,Put a crown on my head.
תגיד לי את המלכה איתך,Tell me the Queen is with you
עד סוף העולם סוף העולם,To the end of the world The end of the world
אבל תמסתובב בברים הזוים כל,But walk around the bars hallucinating all
החברים שלך האלה סתם משוגעים,These friends of yours are just crazy.
שהיית עם זאתי זאתי זאתי,That you were with this one This one
גם עם ההיא הבגדים שלך,Even with your clothes.
אצלי בארון שרים שירי דיכאון,In my closet they sing depression songs
לא נותנים לי לישון כל,They don't let me sleep any
הלילה כל הלילה הדמעות יורדות,Night all night the tears fall
בלי שום הגיון אני זרוקה,No sense at all. I'm dumped.
בסלון מחכה שתבוא כל הלילה,In the living room waiting for you to come all night.
מה עושים עם הלבד הזה,What do you do with this alone?
לא כדאי לך להשאיר לבד,You shouldn't leave alone.
כי כולם כבר עושים לי,Because everyone's already doing me
פה עיניים אתה התחלת לטייל,You started to walk.
מצד לצד אל תופתע אם,Side to side Don't be surprised if
תישאר לבד בבית לא קונה,Be alone at home not buying
אותי סיבוב בלימוזינה שאתה תמיד,Me round in the limo that you always
בוחר בחברים שלך עליי כבר,Choose your friends over me already
לא עובדת בקומבינה אני כבר,I don't work at Combina anymore.
לא אזכיר לך מה ביקשתי,I won't remind you what I asked for.
שתאהב אותי כמו גבר אמיתי,Love me like a real man.
לא קונה תסיפורים שלך אתה,You don't buy your stories
במקום פגעת בי לא מצטער,Instead you hurt me. No. Sorry.
אז לפני שאתה מתקבל לא,So before you get accepted no
שמעת אין אותי אז תתרגל,You heard there's no me. Then get used to it.
אל תשחק איתי באש כבר,Don't play with me on fire anymore
לא עובד עליי שהחיוך הזה,Doesn't work on me That smile
כובש אם תמתעקש תפסיק להתבייש,Conqueror If you insist Stop being ashamed
הלב שלי כבר נשבר אתה,My heart has been broken You
מוזמן להיות חובש אש לא,Invited to be a fire medic No
קונה אותי סיבוב בלימוזינה שאתה,Buy me a ride in the limo that you
תמיד בוחר בחברים שלך עליי,Always choose your friends over me
כבר לא עובדת בקומבינה אני,I don't work at Combina anymore.
כבר לא אזכיר לך מה,I won't remind you what
ביקשתי שתאהב אותי כמו גבר,I asked you to love me like a man.
אמיתי לא קונה תסיפורים שלך,Real doesn't buy your stories
אתה במקום פגעת בי לא,You hit me instead. No.
מצטער אז לפני שאתה מתקבל,Sorry then before you are accepted
לא שמעת אין אותי אז,Didn't you hear? There's no me then.
תתרגל,Get used
יש אבנים להם ציפיתי יש,There are stones I expected to have
אבנים להם לחמתי דמעותיי בכל,Stones to which I have fought My tears in all
אבן חלומי הנכסף אבן אבן,Dreamstone Silver Stone
פה בכותל תקבץ אל כל,Here at the Kotel you will gather to all
תבל אשא קולי כמו שופר,The universe will bear my voice like a shofar
אשא עיני אל פיסגת ההר,I will lift my eyes to the top of the mountain
שמרי על בנייך הטמונים למרגלותיו,Take care of your sons who are at his feet
עוד נפשי איתנה לעמוד כאן,Another strong soul to stand here
איתן את ירושלים ליבי תמיד,I will give Jerusalem my heart always
אלייך את ראשי ארכין לך,To you I will bow my head to you
בהולכי ברחוב מבטי כמו חלום,Walking down the street looking like a dream
מחפת אהבה אולי תבוא מתוך,Love cover might come from inside
חלום עד מתי כך אחכה,Dreaming how long I'll wait
צרותיי הן פה אהבה רחוקה,My troubles are here Love is far away
כמו תפוח משורשיו אך אני,Like an apple from its roots but I
עץ אילן כה חזק איתן,The tree is so strong.
אהבה רחוקה כמו תפוח משורשיו,Love is as far away as an apple from its roots
החיים הם עלים הם נושרים,Life is a leaf It's a dropout
בירוקים הנהר הוא שקט אך,In the greens the river is quiet but
לבי הוא גועש איך ארוץ,My heart is churning How will I run
אל החיים כמו טיפה בתוך,To life as a drop in
מים עולמי כה שקט כמו,World water is as quiet as
נוצה במעופה אך לבי הוא,A feather in flight But my heart is
גועש בים חורפי הוא סוער,Whistleblowing in the winter sea is stormy
בנפשי מתחוללה נפש כמו סערה,In my soul there is a soul like a storm
הפרח נותן ריחו האביב מפריח,The flower gives its smell The blooming spring
נשיקות חלומות נעורי להיות יחדיו,Kissing Dreams Youthful Being Together
בגן קחו אותי מהעולם רק,In the garden take me from the world only
תשאירו אותו איתן לא איכפת,Leave him with them. I don't care.
לי מחיי אם כך נגזר,Me from my life then is doomed
עלי החיים הם סרט נע,Life's Leaves is a moving film
יום אכזר יום שמחה בן,A cruel day Happy day son
עצי האילן שם אכתוב סיפור,The trees of the tree there I will write a story
חיי השמש מעל זרחה אני,The life of the sun above shines I
בתוך הגן מלקטת את פרחי,Inside the garden gathers the flowers
בוהה בחלל קחו אותי,Staring at space Take me
אותו עני ברחובות מבקש נדבות,The same poor man on the streets asking for alms
לא נותנים לו אף פרוטה,They don't give him a penny.
מגרשים אותו בבושה אותו עני,Cast him out in shame. Poor him.
בפינת הרחוב גם בחום גם,In the street corner also in the heat
בקור אותו עני בפינת הרחוב,Cold it Poor on the street corner
את ידו מושיט לכל לא,His hand reaches out to all no
נותנים לו אף פרוטה מגרשים,They give him a penny. Plots.
אותו בבושה,Him in shame
כוס היין בידי טעמו כה,A glass of wine in the hands of such taste
מריר מתוכו נשקף לי החיים,Bitterness from which I behold life
המרים איה אותו האדם אשר,It is the same man who
מבין את הזולת את אותו,Understand others the same
העני אשר מביט בתחנונים זעקה,The poor man who looks at the pleading cried out
מהחלון אלוהים נשאת לו היא,From the window God carried him
ממול בשכונה שמחת חתונה ליבי,In front of the neighborhood Happy wedding Libby
נכמר לאדם אשר יושב שם,To the man who sits there.
בדד כותב את הנשכח אולי,He may be writing The Forgotten.
מחר החגיגה,Tomorrow's Celebration
אל הים ברחתי על העולם,To the sea I ran for the world
חשבתי את קולי שמעתי צחקתי,I thought my voice I heard laughing
צחקתי כך משכוני אחריהם גלי,I laughed like that. Follow me. Glee.
הים גבוהים אך למה מתנפצים,"The sea is high, but why is it shattered?"
ברעש המוני מרקידים ליבי על,In the mass noises dancing my heart on
החוף נשכבתי את עיני עצמתי,The beach I laid my own eyes
בכל גופי רעדתי צעקתי צעקתי,With all my body I was shaking I was screaming
אל לבבי אמרתי כי לא,To my heart I said no
עוד יפעם כסער לא עוד,More beats as a storm No more
ידע בצער לא עוד סגור,Knowledge of sorrow no longer closed
השער אלי גני לא עוד,The gate to my garden no more
דמעה ניגרת מעין נעצבת כי,A tear is shed as a kind of sadness because
לא אוסיף לשבת עוד לבדי,I will no longer sit by myself.
אשא עיני הנה הוא לפני,I'll take my eyes Here he is before
קרב בא אלי הנה זה,Fight came to me Here it is
אהובי אשא עיניו פניו זורחות,My love I will lift his eyes His face shines
אלי מאיר הוא את שמי,Eli Meir is my name
הנה זה כוכבי את רחשי,There it is. Star off my nose.
נפשי הן לא ידעתי אליו,My soul they did not know him
אשא עיני אל האור אל,I will lift my eyes to the light
האור זוהר כאור השמש אחר,The light shines like other sunlight
פגישה ליל אמש זוהר לבבי,Last night's meeting Heartwarming
כולו שלו את לבבי אמרתי,It's all his. My heart. I said...
כי את דמעותיי מחיתי כי,For I have shed my tears because
לא לשווא חיכיתי הרגע לו,Not in vain. I was just waiting for him.
ציפיתי הנה הוא בא אלי,I was expecting. Here he comes to me.
שם מן הדרך אהובי נפשי,There out of the way my beloved
כמלך אם הוא לי המלך,King if he is to me King
אני המלכה,I am the Queen
עמק האהבה שם נבלו כל,The Valley of Love where all
פרחי העץ המיותם מחכה רק,Mythical tree flowers are just waiting
לך לא חרשת בעגלתי לו,Go not deaf in my cart to him
מצאת חדתי אז הלב היה,You found my sharpness So the heart was
נעול רק עם עצמי אל,Locked only with myself Al
תביט לאחור שמא לא תיפול,Look back lest you fall.
החיים הם נחשול אל נא,Life is a tidal wave.
תעצור אני השושן בתוך עולמך,Stop! I'm the lily in your world!
אוהב רק אותך אם גם,I only love you if also
תחזור צרור גדול לי בלב,Come back a big bundle in my heart
עם הזמן זה חולף את,"Over time, it goes away."
שמך אני אחרוט את היום,Your name. I'll scratch the day.
לא אכתוב לי אמרו חברים,"I won't write to you, say friends."
אם אין אני לי מי,If I don't have who
לי החיים הם חידה גם,Life is a mystery to me too.
בלי אהבה תם חלף גם,Without love an innocent has also passed
הזמן הרוח שרקה מעל את,Time the wind whistled over you
עיני אני אשא אל העמק,My eyes I'll carry to the valley
הנפלא הציפור תפרוש כנף במעופה,Wonderful The bird will spread wing in flight
כמו עלה החיים ממשיכים כמו,As the leaf Life goes on as
גלגל ענק,Ferris wheel
עוד יורד הטל אני כבר,I'm going down the dew already.
כאן מחכה לך ליד האגם,Here waiting for you by the lake
זימרת ציפורים תלווה אותך בואי,Bird singing will accompany you. Come on.
נערה בפי אהבה הי נערה,# Girl by love # Hey girl
בואי אל האגם ברבורים שרים,Come to the lake Swans sing
שירת אהבה הי נערה בואי,Love song Hey girl Come on
אל האגם ברבורים שרים שירת,To the Lake Swans Sing Singing
אהבה מסביב עצים נוף כה,Love around trees Such a view
מרביה ברבורים יפים באגם שטים,Maravia Beautiful Swans at Lake Sait
דמותך טמירה אלילת האגם פרח,Thy image Tamira the goddess of the lake Flower
לבן כעורך הזך הרך הי,White as the soft-core editor. Hi.
נערה ביתך הקטן ליד האגם,Little girl in your house by the lake
את היא אשר כל עלם,You're the one who's all gone.
בך ירצה בואי נערה אלילת,In you will come a goddess girl
האגם מה טוב יהיה אם,The lake What would be good if
רק תאמרי לי כן הי,Just tell me yes. Hey.
נערה,Girl
אם אלך אל בית חם,If I go to a warm house
שם אפגוש את כולם אב,That's where I'll meet everyone. Father.
אם אח אחות סב זקן,If Brother Sister Old Grandfather
פניו קמוטות אם רק אני,His face is wrinkled if only I
לעצמי אם רק אני לבדי,To myself if only I am alone
יש חלום בתוכי יש מאור,There's a dream inside me There's a light
בליבי אם שבת אם במועד,In my heart if on a Saturday if on a date
יש שמחה יש אמת שם,There's joy There's truth there
נרות שבת חג חם בלב,Warm Shabbat Candles in the Heart
חם לעד כי רק אני,Warm for ever because only I
לעצמי כי רק אני לבדע,To myself because only I know
יש עצה לי משם גם,There's advice for me from there too
אמי בעדם אם אלך אל,My mother is for them. If I go to
ילדותי שם אפגוש את תומי,My childhood there. I'll meet Tommy.
שם נרות שבת חג שם,There Candles Shabbat Holiday There
הלב שם לעד,The heart is there forever.
אמי אמי פתחי הדלת כל,Amy! Amy! Open the door!
גופי רועד מקור אמי אמי,My body trembles at the source of my mother's
פתחי הדלת על כתפי משא,Open the door on the shoulders of freight
כבד ליל חלף השלג בא,Heavy Night Gone Snow Comes
הוא מצליף בעצמותיי אביט אל,He whips my bones Abit al
על הרים עליי לא נדע,On mountains upon me we shall not know
מה המחר חבר יצא למשימה,What's tomorrow? A friend went on a mission.
הלב בוכה בחשיכה אמי אמי,My heart cries in the dark My mother
הלב דואב רחוק ממך שולח,The heart aching away from you sends
לך אלפי ברכות הלילה קר,You have thousands of greetings The night is cold
בתוך חדרי חום עדנה בחלוני,Inside the Edna Brown Rooms in my window
נערתי הקטנטנה מכתב שלחה באהבה,My little girl A letter sent with love
אמי אמי,Amy. Amy.
את לי שמש את לי,You're my sun You're mine
אור את הנשמה שבתוכי את,Light the soul within me
כל פרחי גני רק לך,All garden flowers just for you
אגיש כי לי נתת את,I'll serve because you gave me
האביב אז עד מתי אחכה,Spring So How Long Will I Wait
עם געגועים שבלב עם דמעה,With longing in the heart with tear
באהבה כל חיי רק אכזבה,In love All my life only disappointment
אתמול עברתי ליד ביתך אור,Yesterday I passed by your house a light
דלק שם בחדרך לראות רציתי,Fuel in your room to see I wanted
את דמותך אך את נמצאת,Your character but you are
לא לבדך את שיערך הוא,It is not your hair alone.
מלטף שפתותיך מנשק למה לי,stroking your lips kissing Why should I
זה לא קורה איך שכחת,It doesn't happen. How did you forget?
אותי מהר בודד חזרי אז,Me fast lonely Come back then
אל חדרי שם ישבתי לבדי,To my room there I sat alone
מכתב כתבתי לך נערתי האם,A letter I wrote to you My Mother's girl
זורכת את אותי אם לא,You win me over if you don't
אלך לדרכי את תמיד בליבי,I'll go my way You're always in my heart
מחפש לי אהבה כל חיי,I have been looking for love all my life.
רק אזכבה,I'll just get ready.
את לי פרח את לי,You are my flower You are mine
נר בנשמה אתמול בזרועותי היום,A candle in my arms today
את הלכת לדרכך את הלכת,You went your way You went
אותי את נטשת את חדרי,You abandoned my room.
הקטן הן ראי מה אומלל,The little one is See what's miserable
לא ידעתי מה אומלל הן,I didn't know what miserable they were.
רציתי רק אותך אהבתי רק,I only wanted you I only loved
שלך אנא בואי רק אלי,Please come to me.
שתי עינייך הן כחולות את,Both your eyes are blue You
דרכי הן מאירות צליל קולך,Through me they illuminate the sound of your voice
המלבלב את ליבי מהדהד אך,"My heart is beating, but"
אני סהרורי בואי אלי נערתי,I'm sleepwalking Come to me my girl
את אוצרות העולם לך אתן,The Treasures of the World to You
הנשמה בחדרי הקטן בו אני,The soul in my little room where I
שוכב אומלל אהבתי בו נגמרה,Lying miserable My love in him is over
החושך יורד עלי אך עיני,Darkness falls on me but my eyes
עצומות ליבי בוכה בקול נערתי,Shut my heart Cry my girl's voice
היפה את חדרי שכחה,Beautifully my room has forgotten
בגבעות שוטטתי על אהבה חשבתי,In the hills I wandered about love I thought
מעיני נשקף לי עלם כה,From my eyes I see such a young man
צעיר אני כאן לבד בין,Young I'm here alone between
פרחי הבר אני כאן לבד,Wildflowers I'm here alone
חולמת לי בדד ציוצי ציפורים,I'm dreaming of birds.
תלווה את דרכי אני כאן,Walk my way I'm here
נמצאת בתוך ים של פרחים,It is in a sea of flowers.
דמדומי הליל חדרו אל תוך,The twilight of the night penetrated
